Loại cảm ứng,Số Camera Selfie,Bluetooth,Thương hiệu,Cảm biến,Bộ nhớ trong,Dung lượng pin,Phụ kiện trong hộp,Màu màn hình,Tần số quét,Chất liệu mặt kính,Chất liệu,Thông báo LED,Bảo mật,Loại PIN,Công nghệ màn hình,Tốc độ tối đa,Thẻ nhớ ngoài,Tỷ lệ tương phản,Làm mát,Trọng lượng sản phẩm,Thời gian bảo hành (tháng),Độ phân giải,Camera Type 3,GPS,Hỗ trợ mạng,64 Bits,Type,Chuẩn màn hình,Sensor,Tên,Số khe SIM,CPU,Danh bạ lưu trữ,Aperture,Tỷ lệ diện tích sử dụng màn hình,OS,Cổng giao tiếp,Độ sáng tối đa,Loại SIM,Mật độ điểm ảnh,Số nhân,Hỗ trợ thẻ nhớ tối đa,Camera Type 1,Quay phim,Xuất xứ,GPU,Loại CPU,Camera Type 4,Version,Độ phủ màu,Kích thước,Resolution,Tính năng,Chuẩn kháng nước / Bụi bẩn,Phiên bản CPU,Tính năng đặc biệt,Hướng dẫn sử dụng,Công nghệ pin,Giá thị trường,RAM,Hướng dẫn bảo quản,Số camera sau,Pixel size,Kích thước màn hình,Camera Type 2,Wifi,Bộ nhớ còn lại,RAM Type,Kết nối khác,Kích thước màn hình phụ,Thời điểm ra mắt,Tỷ lệ khung hình
,Single selfie camera,v5.0,Xiaomi,,128 GB,5000 mAh,Ốp lưng,,120,Gorilla Glass 3,,,Mở khoá vân tay cạnh viền,,AMOLED,2.8 GHz,MicroSD,,,183.5 g,18,1080 x 2400 Pixels,Macro lens,,4G,,,FHD+,,Xiaomi Redmi Note 12,2,,Không giới hạn,ƒ/2.45,,Android,,1200 nits,2 Nano SIM,,,,Wide,,Trung Quốc,Adreno 610,,,Android 13.0,,165.66 x 75.96 x 7.85 mm,13.0 MP,,IP53,Snapdragon 685,,Xem trong sách hướng dẫn sử dụng,,4990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,0.64 µm,6.67 inch,Ultra Wide,,,LPDDR4X,,,2023,
Điện dung đa điểm,Single selfie camera,v5.3,Apple,Cảm biến tiệm cận,128 GB,4323 mAh,Cáp,,120,Kính cường lực,,Có,Mở khóa bằng mật mã,Lithium-ion,OLED,3.46 GHz,Không,,,240 g,12,2796 x 1290 Pixels,Telephoto,GPS,5G,Có,,Super Retina XDR,,iPhone 14 Pro Max 128GB,1,,Không giới hạn,,,iOS,1 Lightning,2000 nits,"1 eSIM, 1 Nano SIM",,6,,Standard,Quay phim Slow Motion,Trung Quốc,Apple GPU 5 nhân,,,iOS 16,,160.7 x 77.6 x 7.85 mm,12.0 MP,Live Photo,IP68,Apple A16 Bionic,,Xem trong sách hướng dẫn sử dụng,,29990000.0,6 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.7 inch,Ultra Wide,Wi-Fi Hotspot,Khoảng 113 GB,,NFC,,09/2022,
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,128 GB,5000 mAh,Ốp lưng,16 Triệu,60 Hz,Kính cường lực Panda,Khung máy: Hợp kim,,Mở khoá vân tay cạnh viền,Lithium polymer,Màn hình chính: IPS LCD,2 GHz,MicroSD,,,192 g,12,Màn hình chính: 1080 x 2400 Pixels,,GPS,4G,,,Màn hình chính: FHD+,,OPPO A58 6GB-128GB,2,,Không giới hạn,ƒ/2.0,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Standard,Quay phim HD,Trung Quốc,Mali-G52 MP2,,,Android 13.0 (ColorOS 13.1),,165.65 x 75.98 x 7.99 mm,8.0 MP,Nhãn dán (AR Stickers),IP54,Helio G85,Loa kép,Xem trong sách hướng dẫn sử dụng,Sạc siêu nhanh SuperVOOC,4990000.0,6 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Depth,802.11 a/b/g/n/ac,Khoảng 106 GB,,Jack 3.5 mm,,07/2023,
Điện dung đa điểm,Single selfie camera,Có,Samsung,,128 GB,5000 mAh,Cáp,,90,,Nhựa Polycarbonate,,Mở khoá vân tay cạnh viền,,PLS LCD,2.4 GHz,MicroSD,,,194 g,12,1080 x 2400 Pixels,Macro lens,GLONASS,4G,,,FHD+,,Samsung Galaxy A05s 128GB,2,,,ƒ/2.0,,Android,Type C,1000 nits,2 Nano SIM,,8,1 TB,Wide,,Việt Nam / Trung Quốc,,,,Android 13.0,,168 x 77.8 x 8.8 mm,13.0 MP,,,Snapdragon 680,,Xem trong sách hướng dẫn sử dụng,,3990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g,,,Jack 3.5 mm,,09/2023,
Điện dung đa điểm,Single selfie camera,v5.2,Samsung,Cảm biến ánh sáng,128 GB,3700 mAh,Cáp,16 Triệu,120,,Mặt lưng máy: Kính cường lực,,Mở khóa bằng mật mã,Lithium-ion,Dynamic AMOLED 2X,,Không,,,183 g,12,1080 x 2636 Pixels,,A-GPS,4G,,,FHD+,,Samsung Galaxy Z Flip4 5G 128GB,2,,Không giới hạn,ƒ/2.4,82%,Android,Cổng sạc: Type C,1200 nits,"1 eSIM, 1 Nano SIM",,8,,Wide,Quay phim FullHD,Việt Nam,,Octa-Core,,Android 12,,165.2 x 71.9 x 6.9 mm,10.0 MP,Nhãn dán (AR Stickers),IPX8,Snapdragon 8+ Gen 1,,Xem trong sách hướng dẫn sử dụng,Sạc ngược cho thiết bị khác,23990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g/n,,LPDDR5,Computer sync,19 inch,08/2022,21:9
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,128 GB,5000 mAh,Ốp lưng,16 Triệu,90 Hz,Kính cường lực Panda,Nhựa,,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,2 GHz,MicroSD,,,188 g,12,720 x 1612 Pixels,,GPS,4G,,,HD+,,OPPO A18 4GB 128GB,2,,,ƒ/2.2,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Standard,720p@30fps,Trung Quốc,Mali-G52 MP2,,,Android 13.0 (ColorOS 13.1),,163.74 x 75.03 x 8.16 mm,5.0 MP,,IP54,Helio G85,,Xem trong sách hướng dẫn sử dụng,,3990000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.56 inch,Depth,802.11 a/b/g/n/ac,,,OTG,,11/2023,
,Single selfie camera,v5.0,Xiaomi,,32 GB,5000 mAh,Dây sạc Micro USB,,60,,Vỏ thân máy: Nhựa,,Mở khóa bằng mật mã,,IPS LCD,2.20 GHz,MicroSD,,,192 g,18,Màn hình chính: 720 x 1600 Pixels,,GPS,4G,,,HD+,,Xiaomi Redmi A2 2GB-32GB,2,,,ƒ/2.2,,Android,,,2 Nano SIM,,8,1 TB,Standard,720p@30fps,Trung Quốc,PowerVR GE8320,,,Android 13.0,,164.90 x 76.75 x 9.09 mm,5.0 MP,HDR,Không,MediaTek Helio G36,,Xem trong sách hướng dẫn sử dụng,,2190000.0,2 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Single rear camera,,Chính: 6.52 inch,,802.11 a/b/g/n,,LPDDR4X,Jack 3.5 mm,,08/2023,20:9
Điện dung đa điểm,Single selfie camera,v4.2,Realme,Cảm biến gia tốc,64 GB,5000 mAh,Sạc,,60,,Nhựa,,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,,MicroSD,,,186 g,12,720 x 1600 Pixels,,A-GPS,4G,,,HD,,realme C30s 3GB-64GB,2,1.6 GHz Cortex A55,Tùy bộ nhớ,,,Android,Micro-USB,,2 Nano SIM,,8,,Wide,1080p@30fps,Trung Quốc,,Octa-Core,,Android 12,,164.2 x 75.7 x 8.5 m,5.0 MP,HDR,,Unisoc SC9863A1,,Xem trong sách hướng dẫn sử dụng,,2690000.0,3 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Single rear camera,,6.5 inch,,Wi-Fi Hotspot,,,Jack 3.5 mm,,09/2022,20:9
Điện dung đa điểm,Single selfie camera,v5.1,Xiaomi,Cảm biến trọng lực,128 GB,5000 mAh,Cáp Micro-USB,16 Triệu,90 Hz,Gorilla Glass 3,Mặt lưng máy: Nhựa,,Mở khóa bằng mật mã,Lithium polymer,IPS LCD,2 GHz,MicroSD,,,181 g,18,1080 x 2400 Pixels,Depth,GPS,4G,,,FHD+,,Xiaomi Redmi 10 4GB-128GB,2,,Tùy bộ nhớ,ƒ/2.0,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,512 GB,Standard,Quay phim HD,Trung Quốc,Mali-G52 MC2,Octa-Core,Macro lens,Android 11,,161.9 x 75.5 x 8.9 mm,8.0 MP,Nhận diện khuôn mặt,Không,MediaTek Helio G88,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,4290000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Quad rear camera,,6.5 inch,Ultra Wide,802.11 a/b/g/n/ac,,,Slot SIM/thẻ nhớ dùng chung,,04/2022,
Điện dung đa điểm,Single selfie camera,v5.2,Samsung,Cảm biến vân tay,128 GB,5000 mAh,Cáp,,60 Hz,,Nhựa,,,,PLS LCD,2 GHz,MicroSD,,,201 g,12,1080 x 2408 Pixels,Depth,GPS,4G,,,FHD+,,Samsung Galaxy A14 4G,2,,Không giới hạn,ƒ/2.2,,Android,Type C,,2 Nano SIM,,8,1 TB,Wide,1080p@30fps,Việt Nam / Trung Quốc,,,,Android 12,,167.7 x 78.8 x 9.1 mm,13.0 MP,Xóa phông,,Exynos 850,,Xem trong sách hướng dẫn sử dụng,,4490000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.6 inch,Macro lens,802.11 a/b/g/n/ac,Khoảng 105 GB,,Jack 3.5 mm,,3/2023,
Điện dung đa điểm,,v5.1,Honor,,128 GB,5200 mAh,Thẻ bảo hành,16.7 Triệu,90 Hz,,Nhựa,,Mở khóa khuôn mặt,Lithium polymer,TFT LCD,,,,,188 g,12,720 x 1612 Pixels,Depth,A-GPS,3G,,,FHD,,Honor X6A 4GB-128GB,2,4 x Cortex A53 2.0 GHz + 4 x Cortex A53 1.5 GHz,,ƒ/2.2,84%,Android,,,2 Nano SIM,269 ​​ppi,8,,Standard,1080p@30fps,Trung Quốc,PowerVR GE8320,Octa-Core,,Android 13.0,,163.32 x 75.07 x 8.35 mm,5.0 MP,Chế độ chân dung,,MediaTek Helio G36,,Xem trong sách hướng dẫn sử dụng,,3490000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.56 inch,Macro lens,802.11 a/b/g/n/ac,,,Jack 3.5 mm,,T8.2023,20:9
Điện dung đa điểm,,v5.3,Asus,,512 GB,6000 mAh,Miếng dán màn hình,1 Tỷ,165,Gorilla Glass Victus,Kính Gorilla Glass 3,Không,Mở khóa vân tay,Lithium polymer,AMOLED,3.2 GHz,,,Có,239 g,12,2448 x 1080 Pixels,Macro lens,,5G,,,FHD+,Sony IMX766,Asus ROG Phone 7 16GB-512GB,2,,,ƒ/2.5,,Android,Jack 3.5 mm,1500 nits,2 Nano SIM,,8,,,Quay phim FullHD,Trung Quốc,Adreno 740,,,Android 13.0,,173 x 77 x 10.3 mm,32.0 MP,Toàn cảnh (Panorama),IP54,Snapdragon 8 Gen 2,,Xem trong sách hướng dẫn sử dụng,Sạc pin nhanh,24990000.0,16 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,6.78 inch,,Wifi 6E,,LPDDR5,Bluetooth,,05/2023,
Điện dung đa điểm,Single selfie camera,v5.1,Xiaomi,Cảm biến khí áp kế,64 GB,5000 mAh,Sạc,,60,,,,Mở khóa vân tay,,IPS LCD,2 GHz,MicroSD,1500:1,,192 g,18,720 x 1650 Pixels,,BDS,4G,,,HD+,,Xiaomi Redmi 12C 4GB - 64GB,2,,Không giới hạn,ƒ/2.2,,Android,Cổng sạc: Micro-USB,,2 Nano SIM,,8,,Standard,Quay phim FullHD,Trung Quốc,Mali-G52 MC2,Octa-Core,,Android 12 (MIUI 13),70% NTSC,168.76 x 76.41 x 8.77 mm,5.0 MP,,,Helio G85,,Xem trong sách hướng dẫn sử dụng,,3590000.0,4 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.71 inch,Ống kính phụ trợ,802.11 a/b/g/n/ac,,,Jack 3.5 mm,,01/01/2023,20.6:9
Điện dung đa điểm,Single selfie camera,v5.3,Oppo,Cảm biến gia tốc,64 GB,5000 mAh,Cáp Micro-USB,16 Triệu,60,Kính cường lực Panda,Khung máy: Nhựa,Không,Mở khoá vân tay cạnh viền,Lithium polymer,LCD,2.3 GHz,MicroSD,,Không,189 g,12,720 x 1612 Pixels,,A-GPS,4G,,,HD+,,OPPO A17k 3GB-64GB,2,,Không giới hạn,ƒ/2.2,,Android,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,8,1 TB,Standard,Quay phim HD,Trung Quốc,PowerVR GE8320,Octa-Core,,Android 12 (ColorOS 12.1),,164.2 x 75.6 x 8.3 mm,5.0 MP,Tự động lấy nét (AF),IPX4,Helio G35,,Xem trong sách hướng dẫn sử dụng,,3290000.0,3 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Single rear camera,,"6,56 inch",,802.11 a/b/g/n/ac,,,OTG,,10/2022,
,,,Nokia,,128 MB,1020 mAh,Tai nghe,,,Kính thường,Nhựa,Có,Mở khóa bằng mật mã,,QQVGA,,,,,78.3 g,12,,,,4G,,,QQVGA,,Nokia 105 DS 4G,2,,Tùy bộ nhớ,,,,Audio Jack: Jack 3.5 mm,,2 Nano SIM,,2,,Standard,,Trung Quốc,,,,Nokia S30+,,121 x 50 x 14.5 mm,,,,Unisoc T107,,,Pin có thể tháo rời,820000.0,48 MB,,,,1.8 inch,,,,,Radio FM,,06/2021,
,,v5.1,Masstel,,128 MB,1000 mAh,Pin rời,,,,Mặt kính: Nhựa,Có,,Lithium-ion,QQVGA,,MicroSD,,,76 g,12,160 x 128 Pixels,,,4G,,,QQVGA,,Masstel Izi 15 4G,2,,2000 Số,,,Không,Jack 3.5 mm,,2 Nano SIM,,,128 GB,,,Trung Quốc,,,,Không,,120 * 50 * 14m m,,,,,,Xem trong sách hướng dẫn sử dụng,,390000.0,48 MB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",,,1.77 inch,,,,,,,2023,
Điện dung đa điểm,Single selfie camera,v5.3,Samsung,Cảm biến trọng lực,256 GB,5000 mAh,Cáp,16 Triệu,120,Gorilla Glass Victus,,Không,Mở khóa bằng mật mã,Lithium polymer,Dynamic AMOLED 2X,2.2 GHz,Không,,Không,234 g,12,1440 x 3088 Pixels,Telephoto,GLONASS,4G,Có,,QHD+,,Samsung Galaxy S23 Ultra 5G 256GB,1,,Không giới hạn,ƒ/2.2,,Android,Cổng sạc: Type C,,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",,8,,Standard,Quay phim FullHD,Việt Nam / Trung Quốc,,Octa-Core,Telephoto,Android 13.0,,163.4 x 78.1 x 8.9 mm,12.0 MP,HDR,IP68,Snapdragon 8 Gen 2,,Xem trong sách hướng dẫn sử dụng,Sạc ngược cho thiết bị khác,31990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Quad rear camera,,6.8 inch,Ultra Wide,802.11 a/b/g/n/ac/ax,,,,,02/2023,
Điện dung đa điểm,Double selfie camera,v5.2,Samsung,Cảm biến ánh sáng,256 GB,4400 mAh,Cáp,16 Triệu,120,Màn hình chính: Kính siêu mỏng Ultra Thin Glass (UTG),Mặt lưng máy: Kính cường lực,,Mở khoá vân tay cạnh viền,Lithium-ion,Dynamic AMOLED 2X,,Không,,,263 g,12,Màn hình chính: 2176 x 1812 Pixels,Telephoto,A-GPS,4G,Có,,WXGA+,,Samsung Galaxy Z Fold4,2,,Không giới hạn,ƒ/2.2,88%,Android,Cổng sạc: Type C,1200 nits,"1 eSIM, 1 Nano SIM",,8,,Wide,Quay phim Slow Motion,Việt Nam,Adreno 670,Octa-Core,,Android 12,,155.1 x 130.1 x 6.3 mm,4.0 MP,Flash màn hình,IPX8,Snapdragon 8+ Gen 1,Chặn cuộc gọi,Xem trong sách hướng dẫn sử dụng,Sạc ngược cho thiết bị khác,40990000.0,12 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Triple rear camera,,7.6 inch,Ultra Wide,Wi-Fi Hotspot,,LPDDR5,OTG,6.2 inch,04/2023,21:9
Điện dung đa điểm,Single selfie camera,v5.3,Samsung,Cảm biến ánh sáng,256 GB,3700 mAh,Sách HDSD,16 Triệu,120,,Khung máy: Nhôm nguyên khối,,Mở khóa bằng mật mã,Lithium polymer,Dynamic AMOLED,,Không,,,187 g,12,1080 x 2636 Pixels,,GPS,4G,,,FHD+,,Samsung Galaxy Z Flip5 5G,1,,Không giới hạn,ƒ/2.4,,Android,Cổng sạc: Type C,1000 nits,"1 eSIM, 1 Nano SIM",,8,,Wide,Quay phim FullHD,Việt Nam / Trung Quốc,Adreno 740,Octa-Core,,Android 13.0,,165.2 x 71.9 x 6.9 mm,10.0 MP,Nhãn dán (AR Stickers),IPX8,Snapdragon 8 Gen 2,,Xem trong sách hướng dẫn sử dụng,Sạc ngược cho thiết bị khác,25990000.0,8 GB,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Double rear camera,,6.7 inch,Ultra Wide,802.11 a/b/g/n,,LPDDR5,,3.4 inch,07/2023,21:9
